,fold_0_train,fold_0_val,fold_0_test,fold_1_train,fold_1_val,fold_1_test,fold_2_train,fold_2_val,fold_2_test,fold_3_train,fold_3_val,fold_3_test,fold_4_train,fold_4_val,fold_4_test
3164,2.7.38.676346.30.5.3.1.66685583106.7112853938300.9,9.3.39.695531.28.9.0.0.98813764504.7855963427150.2,9.7.545.227535.7.284.3.1078324802.7306331738.62727,6.2.27.744675.66.4.2.7.28166654740670.8921982181177.9,3.3.83.720746.49.7.6.4.85167069486.1653777398929.3,3.7.50.558493.86.9.0.8.511334125214769.8755725358929.6,0.0.251.273176.8.112.8.7457994780.1770017590.980501,9.1.71.097373.94.8.8.6.94874371320.0633844002901.4,6.2.76.319854.30.2.5.9.21016176315.6867837450662.0,3.1.82.359418.69.2.1.1.575972288146073.6148874783522.7,7.5.58.103464.31.2.5.3.92221273568.6814562916366.2,1.3.83.077548.63.7.6.3.78505731941.2704428608122.7,5.0.790.317336.7.738.3.8494348020.7738783638.234318,7.0.17.267390.44.1.5.8.62136463245.1441466848191.8,1.9.56.084592.45.3.8.8.08680868042.6901689574844.8
3165,3.4.54.313288.23.5.5.4.100493641924307.9925688703942.0,9.6.399.457467.2.861.7.2253496745.8024578548.958568,6.8.58.114321.50.8.2.9.37158850063.9297560221343.9,7.8.17.146454.02.3.0.2.13933822157.0118972421859.4,8.2.03.383216.70.0.4.1.98719427052.8657813428897.3,8.9.498.925416.2.175.7.1568726540.6021207986.474326,6.2.50.911981.16.2.1.6.352966676826897.1510311016760.3,6.4.23.253050.20.3.1.7.10492229511.8852714923818.0,9.2.062.416785.1.501.7.3950656681.1214178469.306186,5.2.368.114934.6.388.2.5454585087.7637352587.366207,8.4.25.820603.93.0.2.6.563005319480415.4514320882296.8,8.5.681.079088.3.545.4.3668066047.0854396409.698500,5.3.51.064298.52.4.5.4.796889181276466.3736969014036.5,1.1.11.986976.65.5.6.9.93063976582.1094071128228.5,4.1.305.509960.2.088.0.5549745357.9522581369.859214
3166,2.0.94.484110.85.6.1.0.22977433148.1813861179490.6,0.8.87.945792.76.3.0.7.95881534935.8419524223438.9,6.5.43.635907.40.2.6.8.59352752127.5064992751802.6,7.2.15.015041.27.7.7.5.31873950114.8323724228740.1,6.9.90.485547.22.3.6.5.13221045366.3165352841251.3,5.9.897.845763.0.038.2.3559479560.3433968141.977625,2.5.88.051306.25.5.0.3.00681874199.6866730107092.9,7.0.79.165878.16.5.5.0.41949022797.1480267208317.5,4.2.744.254002.5.708.6.1384960216.0492738342.613038,6.1.57.766724.27.3.5.9.47076270938.0907153813475.7,4.1.46.710067.49.8.2.0.23579121682.7882383922415.0,5.5.62.271925.73.0.6.1.02327099699.9906296957487.6,0.7.62.005723.74.6.4.1.21300751248.1492160179323.2,3.1.21.296715.18.5.9.3.91933442005.6135563090211.4,9.6.19.709619.39.7.9.1.96793632893.3786804613044.8
3167,0.8.73.720517.12.7.4.6.70108042953.0894302418107.8,5.9.653.617024.9.864.0.9384733875.4554269257.597043,5.1.31.911681.04.3.6.3.33269194300.9512458144092.0,8.5.222.540730.8.667.8.2703812678.6365019146.101596,4.3.58.374276.22.7.6.7.87614961755.5985986739090.7,8.8.256.376986.6.818.0.7021593692.6256620804.115536,4.3.70.865046.63.4.7.0.225496585706131.9300119398963.7,5.7.74.952616.43.6.8.2.78957843879.2272898012276.9,1.6.833.993573.0.391.1.0820149958.7123123033.686868,5.5.45.490987.96.3.4.5.696625902721392.7592500316439.0,6.8.189.106910.6.187.9.8518994920.8093136386.840232,7.7.803.697636.6.046.8.2153307779.2578124437.368862,0.3.23.757216.00.9.3.3.413134951532707.7171753224164.7,6.1.13.249460.75.6.1.6.396349877552532.9681645441334.6,1.8.69.907097.27.8.6.7.68597914200.8403942973304.7
3168,4.7.04.903125.47.2.2.0.44548932347.3477599397914.2,0.9.14.048094.33.1.4.2.628939427153753.4405419731741.9,2.4.20.525334.86.9.2.3.286878987178188.3144479139704.0,3.3.86.476989.71.7.1.3.05804845142636.3212574591852.0,8.1.204.850115.5.734.5.0224287481.8009773696.101141,3.5.21.851754.87.4.9.9.335615825379365.3328567760961.5,2.5.14.808488.48.5.9.8.655839205869096.9734639583972.1,9.9.16.584625.89.6.6.6.83011493715.8048128867982.6,4.6.45.162657.15.6.3.7.54142875899.5531040182146.3,4.0.884.484110.7.073.2.1610546567.5598831865.403288,0.7.78.214727.39.0.7.4.88349747866.3598928202871.9,3.9.522.357641.9.800.8.3799483891.8092791964.876437,1.2.55.668955.75.7.5.8.75344441084.6485274681002.4,5.0.46.029940.10.0.6.2.774107749554364.3449919720900.3,4.7.578.916790.5.727.8.4886629547.5810822790.23562
3169,9.1.84.647580.82.4.1.6.36496477723.1035687358238.4,8.8.916.109026.2.055.6.5555444681.5555342474.859930,8.5.51.714859.69.7.4.1.90409533745.1917443196384.4,7.4.41.782336.66.1.4.5.96335704395.8046478578901.1,1.4.43.539193.30.2.4.3.08144243815.2077584885238.9,6.7.887.111961.5.078.0.5381937453.9082284503.338802,4.3.524.862480.3.331.2.8936413730.5616722067.856682,6.2.53.606831.21.9.5.8.83664774834.4273948424177.1,5.2.529.152007.5.280.7.7401122243.6899938368.002731,9.6.11.744380.86.1.3.0.961918699017709.0406375974622.8,7.8.66.030640.85.1.0.9.465312859742553.9857551488746.5,4.4.224.376828.4.980.2.2545587421.2719608507.466913,1.5.60.298431.01.7.6.2.181511221866992.3327927290333.8,5.3.642.361714.4.966.4.9120792048.5190668339.598645,4.0.16.703128.12.8.9.7.16313460267.4190221038698.3
3170,6.0.889.714218.6.684.4.8471919712.6438730530.834746,4.1.28.941891.00.7.4.9.07094173275.4034817625899.8,8.6.753.384047.3.904.0.6485032809.6347486130.432806,9.8.08.387745.53.5.4.2.445920410590102.4859659892229.6,1.8.27.541066.43.6.7.0.77696788542.2655374439536.6,9.3.48.456548.96.8.6.7.480709334933199.4043813509306.8,6.1.64.899685.41.6.0.7.92805249693730.2513370176494.3,1.5.08.150292.24.1.3.8.72540896870.9073621644643.4,4.5.59.829177.32.3.2.4.94097886140.3742729396872.1,3.1.86.395336.34.5.1.0.06126313687.8355819118388.6,9.0.249.693964.8.941.4.4697392846.9311739238.192029,6.3.43.133314.88.9.2.5.979613477350093.1269458954437.2,4.8.037.822480.9.600.2.5590500911.1406310078.839382,2.8.521.723846.5.763.6.5223744620.8806135288.006760,2.4.20.798320.25.2.4.9.52239070579.2795342214757.2
3171,1.3.51.042454.19.3.2.4.378933553439379.4033896686112.5,5.9.479.664322.0.945.6.7718179971.6728153060.836290,6.7.41.815236.67.6.9.3.07253212993.1005558801673.8,0.8.63.478239.70.5.1.7.23668099611.4430168627151.0,7.8.57.283147.53.4.3.0.57149473283.1030600334936.4,6.7.111.272292.1.346.6.9293327493.4974382822.286752,0.1.69.531628.80.0.0.2.59934128591713.1812934284738.0,7.3.606.476683.4.310.1.7249791374.5990672831.896903,9.0.73.780835.54.6.9.8.107846817036375.1065947599104.8,5.1.97.197776.21.4.0.4.16376000445174.3861840076454.2,5.1.45.015402.77.0.4.7.75943070879.3479048752788.3,0.2.23.077623.40.5.7.8.27658299749.9366661189303.0,7.0.699.191651.2.652.6.3987022256.1557977509.593182,3.4.03.640076.35.0.8.9.80568376104.8089503627874.3,9.0.005.396867.7.181.4.4016095787.5497490540.562430
3172,7.0.75.747110.75.9.3.7.39941920598185.9474663311669.5,2.8.94.820412.79.5.3.8.367408680528446.3940116283975.6,1.0.938.358426.9.568.9.5303919195.6865360909.221041,3.2.84.494889.32.8.9.9.76193889404.1992894696742.8,1.4.07.795774.87.8.4.6.056799362869302.5760457385813.8,2.8.63.942276.55.7.1.2.29107308201.7896959936887.6,9.0.167.180181.6.300.6.8859223133.9034981655.506051,4.2.88.640805.69.9.9.1.55945665877.1231147288938.6,5.3.54.131594.22.3.5.7.233117302686499.6613728186040.5,4.8.659.346671.6.339.2.2523400206.5978478624.755017,0.6.83.555557.74.8.8.1.36704745698.8198845146537.6,1.3.70.481220.82.9.3.6.11922426111.2892732063549.3,8.8.92.781172.41.7.5.4.772461095483037.8261554465419.0,4.4.53.478198.47.4.4.2.146876664185244.0967421659203.7,9.3.98.583105.67.8.8.0.53887060260.8646857631244.3
3173,0.0.25.512849.14.3.7.7.668662172400437.5995957221568.5,2.0.53.397939.91.3.7.0.490260697115795.2390718939439.8,6.1.773.481495.1.232.9.4629456260.2522021623.719870,1.5.223.646753.0.335.1.8945676753.7162472994.261526,3.3.97.976324.23.7.8.6.51592234940.7547625668689.7,7.7.112.827355.6.375.0.8897644739.8481787328.800254,3.5.22.575032.73.5.4.2.65959641626.2009567241123.4,1.7.97.261227.39.2.9.3.769627541435883.2101206010694.5,6.6.96.190531.83.4.4.0.721497845129768.0618476959757.5,9.7.99.730278.92.1.4.8.48466358621.1203843525157.0,9.8.82.441531.17.5.9.8.39042110638.4398478627138.0,3.9.72.680631.66.1.4.3.17509817390.8353823533355.2,7.5.58.524655.00.9.5.0.898223243908911.9683121836850.2,2.9.682.280869.2.694.2.7725501746.5848847586.59704,7.3.89.904997.22.9.0.6.898754371803099.4605335532556.1
3174,6.5.065.232458.1.090.9.6827241794.2903751408.620787,9.6.43.992055.59.8.4.0.01356416396.9728526119436.5,8.1.175.740430.2.256.4.8302045886.1786481224.08962,8.2.288.062299.2.923.6.5223828419.7349753124.563585,4.5.867.544218.5.299.4.8315004326.9172697557.416364,4.3.59.156763.24.6.5.3.38024771640.2606264557193.7,6.3.998.622449.9.604.4.7456273520.2280064599.226389,9.2.40.222140.90.1.6.9.057299452702223.1133456712127.2,9.9.810.748450.3.766.7.1448898779.8001417908.554970,0.8.56.572346.89.7.8.4.78014898804.6804611884553.6,5.3.351.288592.2.413.2.4716270429.6190213787.784065,4.3.65.186451.78.8.3.1.07426684390.5401057475531.6,7.5.589.413957.6.392.2.3559319332.9860560157.308893,4.8.69.656330.27.2.9.7.41081531444.5208308903811.2,8.9.21.662957.74.0.4.8.93496090433943.0013167347746.6
3175,7.4.13.624142.70.8.5.5.014762854319729.1215161447165.9,5.8.40.929793.34.5.6.5.41608055294.6769738253270.4,6.1.30.595536.47.7.2.6.15454944017.7593274521495.8,0.2.629.585398.9.146.7.0073872821.0371730749.374919,2.0.600.774301.5.585.6.3534387107.8665262967.50592,6.7.78.642771.78.4.4.7.34757602344.4187916421673.1,1.3.011.085455.6.620.8.9335844948.0670340253.054786,2.8.587.449622.9.452.7.9991992398.0184047091.639717,7.2.22.588051.31.7.6.0.89182310216.4612165688552.9,3.4.81.561686.94.8.0.4.691731057466490.9466488685227.7,5.8.451.292403.5.452.5.8163561897.9743148722.893496,1.6.053.020236.2.517.6.3285906204.0023959327.559875,5.3.97.579209.21.8.6.8.11300171653.2869762771236.7,5.9.74.350424.13.2.1.2.64552482925.1070986400525.2,7.9.71.216391.39.6.5.5.370765541739587.8115095868635.8
3176,4.0.49.161600.19.7.4.8.513667785654683.9023435816220.4,4.5.62.191473.45.9.3.5.818857236787228.1092996733154.5,3.3.33.991912.16.7.2.6.08010055995.6755612585692.5,0.8.90.010314.00.9.0.0.360891032137303.0573855618176.2,9.8.92.196612.65.2.1.6.92377024837.5101064402938.4,8.8.89.339276.58.2.6.4.155297596325796.3470080689168.8,7.5.25.767273.65.9.0.7.416792490330085.6290713993670.3,3.9.14.953279.82.7.0.5.676644395576833.7857516540606.1,6.8.94.521778.44.3.1.2.74250093262.5620028614577.3,4.4.40.345984.38.0.8.1.25410098530829.1304348332066.7,7.4.816.417182.6.671.1.8618946480.1674675535.998276,5.3.54.589490.09.0.0.9.60755416590.5790419653059.6,6.6.23.745614.22.5.6.9.23558699124.6628783141127.2,3.1.45.143078.51.1.4.3.222709909635906.4473693194043.4,6.5.54.386228.19.4.2.2.22803569701.5049991246148.9
3177,4.6.916.767090.2.405.4.6769931860.1776996485.244683,5.0.596.748217.1.807.3.6147061982.2729220209.684521,4.5.027.264309.9.462.3.6454405941.5923524979.582846,3.3.85.644523.86.9.5.6.82554296980.0841097110866.6,5.9.23.862212.40.5.1.7.75576048125.5032654700591.3,7.2.70.554950.64.5.6.8.296586939293320.0629704696439.3,0.1.779.685180.8.228.1.9849114215.3572201383.093704,1.5.415.442707.0.546.4.3820540813.5763853548.078651,6.6.73.549649.04.2.7.3.74540053202524.3283047893450.3,7.8.766.508529.4.834.0.5258244262.1333312815.237386,4.2.64.659883.18.1.9.9.818210274907203.8540443891399.1,7.2.92.509985.48.5.4.6.159316444602484.8306141637364.8,5.1.543.669980.8.986.0.6803268207.4663041350.37911,8.2.96.152039.38.2.4.3.39289344380.7762671107184.5,0.2.15.253448.98.1.0.3.19888737782.9536544907975.2
3178,7.3.476.722049.1.966.0.8707872417.4844735948.940060,8.8.43.211798.65.8.0.7.19147110219.5847852113278.0,6.9.84.922826.03.3.9.1.13165628716.9595152599764.8,1.1.59.058151.29.7.3.7.62400111062.8094933787853.8,5.2.24.734066.86.7.2.5.19642549195.6484407580327.4,9.1.782.784264.2.741.4.2170269257.7457209204.090776,6.8.04.601860.80.6.9.3.27846704630.1804248844738.1,7.4.130.920541.8.493.2.9577866695.5985736783.347804,6.2.80.757360.74.1.8.8.82305617868303.9116756449424.8,5.9.36.629868.15.5.4.7.03956778795.0883655737117.5,9.3.295.031330.3.019.9.3975911332.4697245122.812842,7.7.26.632606.44.5.6.8.097370131420551.7555617388165.8,9.4.759.060312.4.163.0.8648543051.3610166433.091248,7.2.90.023513.08.8.6.2.10030523105140.5827012896040.3,7.3.27.753453.79.4.7.8.46163632080.7129478586317.6
3179,7.4.70.601239.12.7.7.3.64334064949.2332875091820.5,2.3.658.387559.5.143.5.6279585815.1063565482.352972,8.3.61.882041.58.2.6.5.203672352490122.7514289485976.7,4.0.762.891555.4.909.9.2250264100.4529794542.542118,8.5.343.121236.2.091.1.3971301564.7862701517.273794.9,3.7.02.626519.49.9.3.0.536021578734903.8226041940015.9,4.8.30.136209.67.5.9.9.452109080908684.7132621790389.5,5.4.13.550027.82.9.2.7.953518735772340.2580587628376.9,9.7.89.953811.48.9.8.6.26585290164.7982255895212.4,7.1.04.472587.19.7.4.1.66725281198.9569838515611.8,4.7.360.065466.0.307.7.4631229538.4539522768.175174,5.3.32.457928.98.9.7.2.50213536233.5737950472724.5,0.7.535.163195.0.318.9.8909765180.8390960429.664281,5.1.29.306696.95.6.9.5.98318563665.1215754251137.2,3.7.13.347172.88.3.8.1.09225589220.7379205526262.3
3180,2.0.109.073335.6.330.4.2112826593.9388729907.430842,1.8.21.608811.14.9.5.0.581652606450364.6641959103866.1,5.7.998.804952.3.021.7.5135536516.1792144889.266538,6.2.723.663049.7.787.4.8585943991.8914308328.209851,2.2.942.828449.3.478.7.0178421119.8561923733.009661,0.2.40.919365.28.0.1.7.345619382934907.0828423033413.5,0.3.125.997845.1.108.0.8119578101.9617018915.726889,4.9.51.234157.48.8.4.8.661871458269315.0818026126110.1,5.2.56.612880.66.2.5.2.26109954640.3146644666777.3,8.1.37.022472.81.1.8.9.020071780598166.4976977483822.5,5.0.349.356394.0.786.1.6527293922.2479274028.810061,1.2.864.017714.5.753.5.1511229314.9145804999.247330.8,1.5.49.323432.51.8.3.4.26527456011.1967572471529.7,7.6.96.295596.63.3.2.3.31290242122.5862294175542.4,7.6.54.506152.92.1.7.4.862904707045513.2391078636291.3
3181,0.0.19.189407.66.7.7.1.59516566119993.2588985448690.4,9.9.70.588583.67.1.5.7.11965039390.6551671270073.5,4.3.05.960833.65.4.9.0.31590573998.8852839558930.3,8.5.27.933656.87.0.9.7.94884947719.2816685488115.1,0.2.02.046261.83.0.5.7.805882334420681.7094137325568.4,8.3.03.059849.12.2.5.9.257272084137904.1436002064975.3,3.1.31.658160.46.3.9.7.49142448616.7131301142820.2,1.7.64.441459.21.2.1.4.379063082685673.2183534575595.8,7.5.96.124894.66.1.2.7.396502911952070.4835296023230.3,6.7.31.035804.58.0.1.7.73778599983.8485938870268.0,9.6.551.340149.2.770.2.2259037295.0765188189.665840,4.7.39.970065.84.1.5.4.68526265504.2877656927981.8,2.7.14.491910.05.5.2.3.79345687576.1350017140206.2,4.9.180.099848.4.221.6.7443399511.6315314092.912566,9.2.34.147844.00.6.0.7.32079147775.6297695695947.3
3182,1.7.59.437830.68.0.2.7.74278721886.8473344178582.3,4.1.32.995895.30.0.1.8.70973900184.5801141655308.9,5.8.73.226239.02.5.4.1.128085854448946.0450806701150.1,7.1.99.017935.71.4.3.1.51998979361.4108949907969.3,9.8.765.376944.7.414.5.5980019560.3243330348.095352,2.8.56.056486.06.5.4.9.002562153093544.0795595818208.6,2.3.81.897853.70.9.9.9.638515673680365.6306281868276.6,2.8.70.649996.79.0.0.5.97388652951.4909065049760.2,5.8.20.297461.33.1.6.8.65584544990.2034191800452.7,0.0.96.373693.54.8.3.9.43665039440.2525305788021.5,8.9.33.261722.79.5.3.9.03613222320.3055992893308.5,4.0.06.229999.40.2.6.7.46717568062.6752302621361.0,6.1.62.481103.21.4.0.9.041617926832079.3234170188594.0,5.7.21.763325.86.1.8.7.16656220644.4508641848588.1,7.8.80.168573.46.3.1.8.52275415356735.5243046688417.7
3183,6.6.33.349248.35.3.0.3.25773795256.1692741891167.8,2.0.99.737894.81.1.6.5.71709929446.2291682475810.7,4.5.11.760513.39.4.3.7.50450495910.5978883718538.1,9.2.632.246979.7.299.3.8524454118.2181052881.145545,3.4.32.637119.46.0.5.0.28700767092.6912660310253.2,3.2.096.055111.5.775.7.6362611647.9682709340.447126,9.9.300.305906.0.558.0.0244951194.2123221453.525458,6.3.636.483527.8.868.4.2860524205.0062305998.005494,7.6.758.003320.1.602.3.6992421140.1785205044.915993,9.7.27.957280.83.6.4.5.89724016068.6562574393177.8,0.2.888.937044.9.089.9.2536407116.2447425325.2129,4.6.67.682863.52.0.3.2.170775695177217.3844112037179.1,8.0.402.865976.0.463.5.2739715698.9714889940.056744,7.6.82.199974.94.3.5.3.31552678973.7447334775326.9,6.9.72.043883.42.4.2.9.57886751643.2066198446580.5
3184,9.1.15.797618.25.3.7.3.02125493217.0572228617544.2,9.1.686.193281.0.364.7.5655843288.9674944540.148619,8.5.16.979690.71.3.4.6.077426697788288.5253290748880.8,1.8.55.446671.67.5.3.9.587604991605753.0937518354156.0,5.7.17.612859.04.2.2.5.07820948656.6161803331877.6,9.3.85.853333.17.6.7.6.13965622446.6719062599900.5,8.6.717.249411.5.667.0.6908249251.9777577127.303836,0.5.855.794108.9.473.5.3022278898.4536837897.04407,4.9.361.234963.6.678.8.4403942753.0981631872.551183,1.6.38.703928.01.5.0.0.744832303966950.1365975162592.9,0.1.31.269073.57.8.0.4.67140223016.4343481755873.5,4.4.90.516246.56.2.4.0.60588677974.2743963881188.5,3.1.198.676876.0.125.0.1672221532.6699937584.827116,3.0.50.288515.52.0.0.4.99900240028.6313046007580.6,1.4.164.467190.4.989.3.7387555982.3978924797.744847
3185,9.4.72.392926.02.7.8.8.21957325964.8848152482354.9,2.0.611.872535.9.093.6.1612942253.5606710615.225609,1.6.03.497198.65.1.5.3.37164712345.9707310274966.7,5.9.77.285728.62.5.6.7.693134907975885.6399053570931.6,7.6.01.762844.02.2.3.5.27355089384.9302531523058.3,9.3.34.642976.22.1.6.4.204147639462178.4102713007283.7,6.8.72.671895.60.7.3.0.23324418178.5528414483661.5,4.4.90.516246.56.2.4.0.60588677974.2743963881188.5,0.0.97.461647.84.2.2.3.75350291596.8434995554219.0,0.0.34.641542.82.4.1.1.98145058575729.6435506846586.3,7.6.520.252525.9.799.4.7264169828.5678506276.543744,0.3.19.797644.39.7.5.4.01651412746.2680605743174.3,2.1.603.171607.5.468.6.1471229323.9114883709.269898,8.8.333.790673.1.569.2.9477352143.1214244695.331300,1.0.86.213898.40.0.1.6.53541526471.2844231780084.2
3186,8.7.36.697343.63.8.9.4.808707114250511.2953418338683.2,0.8.013.867092.7.332.3.7061645519.0634429626.226241,0.2.50.730231.92.5.4.1.314336352870188.8483026847266.4,2.2.78.148308.44.9.9.7.52443926003.0535677766811.7,3.2.043.386945.6.238.8.0631281116.3818921474.164737,3.9.834.580793.5.863.4.9084847067.2846950991.889391,4.5.79.550774.27.6.3.3.233602406925530.0879722542795.0,1.3.03.266728.57.6.9.1.62843410457.4071543325957.7,9.1.17.264695.08.3.1.0.010910044886805.8525466608350.1,9.7.202.285780.1.957.9.0640423690.5905018378.866887,6.9.48.080417.81.6.5.7.62372565115.3534861694662.1,9.5.92.300014.80.1.5.6.375225643649795.7420066721655.1,8.8.05.038846.26.0.4.3.249583138765700.6393663211569.4,2.7.42.318018.46.4.5.9.24950587159.2681858591308.6,0.6.474.747052.3.907.6.0433854033.1085473894.785896
3187,4.2.56.189511.90.6.1.6.013725802396644.9767587220495.4,5.6.06.803000.53.7.0.8.020900412882132.9136198170911.2,3.8.35.398611.31.9.8.1.00550880796253.6551103811060.4,5.5.74.420834.80.0.2.3.06865210463.6036986867514.0,1.9.75.645812.16.9.3.0.67566290054.5711861037998.2,8.2.28.253155.61.4.2.2.05955056428.8886500612980.8,0.9.91.427131.02.3.8.8.24908024114797.3031028123293.3,6.7.64.397098.31.1.5.1.57773918457.7593388911164.0,3.9.53.831249.05.7.8.2.85857914611.3579197381035.9,1.6.43.102942.32.3.2.9.946939675479841.1754552930176.6,5.0.569.928368.0.488.3.7119314050.2378246692.332735,7.5.20.088053.43.1.7.3.33472944533.9616293513044.3,6.5.88.971225.42.5.0.2.67093754397.5715699113229.7,2.7.05.155670.30.5.9.2.988668965681185.8128775694392.8,0.2.968.222986.2.890.7.5063780848.5023364062.420629
3188,9.6.380.225273.9.755.2.9956319705.2591973644.031645,8.8.69.911746.23.7.3.7.41373953336.9233311434448.4,1.4.758.427576.9.921.6.2672796775.9065748504.78478,4.0.495.110793.4.456.8.5953029948.0647218378.597397,9.1.08.893455.21.6.9.5.37223309033.5379246430337.8,2.7.83.956779.69.9.3.1.698212456470938.3849739869343.4,8.2.573.304629.3.397.1.3701225870.3137245471.548845,3.6.69.249339.82.8.3.9.08212014874.2528137370381.9,7.1.59.337148.84.138426483106.1388.1445305109215,3.3.81.179275.61.7.0.1.41331708625.0237931130433.1,6.1.61.708396.25.1.3.3.50132732916.4583917551993.4,1.8.31.337499.62.7.9.0.447131944217261.4500729946208.3,0.1.96.315065.11.1.6.7.386600875062629.3792909661812.8,0.6.44.881582.72.9.5.8.986600294154004.6735924436216.6,2.2.83.332174.35.4.2.1.06501270616.5616123893777.1
3189,6.9.09.526970.67.9.5.4.87842698288.6526339130060.5,1.8.64.867260.21.3.7.7.14145189113.8732459681536.2,0.5.51.738863.48.0.0.5.14163645557499.8585221753546.5,0.7.66.865550.70.4.3.8.75919366687.3266697502701.3,3.0.986.321580.0.507.2.6567360853.7057866398.373348,7.9.04.498779.17.4.9.7.590556816773683.0048925943524.1,3.3.13.316878.11.1.4.7.807949461068266.2592002625298.6,0.4.95.910117.57.5.5.1.89135293724.6410035740528.3,0.9.36.027793.15.2.1.5.13121674296.6481802997603.1,7.4.61.447180.19.1.6.5.35077713316.3571635435433.9,2.7.45.502351.35.3.8.1.841923716236166.1194284696669.7,2.8.00.998922.78.9.8.6.717109467437155.9028256335718.3,0.9.29.905067.36.0.7.1.066034881498607.2717094894641.5,4.2.729.069223.7.842.2.9445318037.5926183810.693338,0.2.347.405372.0.174.6.0801717425.8985673853.666684.9
3190,9.7.732.457441.0.150.7.9646951394.3979377297.050545,2.5.24.443135.04.9.1.6.55339939737.9823192791766.3,7.8.50.429632.08.1.1.9.04418311977.0032943038916.4,2.2.695.507702.7.934.5.3458470851.7484891169.853527,1.7.262.591964.9.284.6.0122817659.9598082612.644914,7.2.66.615213.75.1.5.4.96169152225044.1472110934115.6,9.4.97.765568.32.7.6.5.475173127460974.0796115963270.4,9.2.632.246979.7.299.3.8524454118.2181052881.145545,3.2.74.248000.60.0.1.5.06181882571.3637239846987.9,0.9.33.053246.96.1.6.8.577045420508397.9838326072776.0,6.5.53.552002.62.9.5.4.958041603162296.9961873561824.2,7.6.47.759723.05.5.8.7.79154688043.6236085471700.4,0.9.93.692573.69.6.8.1.01826865210.3547452837363.5,2.4.94.589296.30.3.3.6.187613034953750.1446524891597.4,7.0.33.533987.51.7.7.4.58999105911.6573926407470.9
3191,2.2.046.130106.4.574.0.6302945570.4044540803.461352,1.6.54.685482.03.8.4.9.34834458549.0071765884478.5,6.7.20.105413.57.1.4.0.50752457130.8070821588782.3,3.8.15.752883.51.5.8.7.39346143301.5344632899951.5,5.5.166.341099.5.427.9.4488649419.0534345110.45602,5.4.38.781955.04.5.8.2.57625606886.2170779589334.0,5.5.96.937704.65.7.9.5.057557459004010.7026058736778.5,9.0.240.494757.3.597.0.1815129553.0753435392.501605,5.4.71.749482.30.3.2.0.06140086705.5316896458310.3,1.4.07.795774.87.8.4.6.056799362869302.5760457385813.8,5.2.647.661196.5.574.8.5220758741.2382903204.880362,3.1.28.609693.44.2.8.9.62707581584.8359612353256.4,9.0.67.792674.93.4.7.6.74713222047.3951196924774.0,4.8.73.510498.21.5.8.9.39434130134.1161370910373.9,0.9.661.329687.5.122.0.9480213494.8603040282.966468
3192,4.6.10.944524.56.3.0.4.07154557245.0683812997033.6,8.3.49.558451.09.4.5.4.18997136427.9264588640912.7,5.1.72.967343.34.4.0.3.21623965079.7162972467318.0,1.4.41.800215.63.4.2.0.169589404160488.0624413202700.7,8.7.66.025843.62.3.7.8.70232172654.6772105129268.0,8.1.76.669738.52.1.6.9.07492354164.9760325604854.8,6.3.951.036176.1.077.6.3552387156.9334715161.870326,3.4.85.283706.50.7.6.5.67515760918.9000317795436.9,8.2.66.166814.77.5.9.3.706233150268080.7287323267533.3,1.6.82.665135.90.9.2.3.90638281693.9615369466727.6,6.7.73.273264.34.2.7.1.38733600105.9316801975080.3,1.1.82.028477.84.9.7.4.284462738121872.9246323081436.7,6.2.76.340081.93.3.8.3.72124509481.9466167713188.9,8.0.525.072710.3.257.7.1535721377.6551196205.411395,4.5.79.550774.27.6.3.3.233602406925530.0879722542795.0
3193,1.6.236.959462.3.477.0.8141228137.4632602887.731242,7.2.64.296055.80.4.2.5.80360113182.3480692843594.6,4.2.29.674202.05.4.0.7.163699515092356.6779862677370.1,2.8.97.213748.57.6.4.7.99290503512.4142364701983.5,2.0.38.514766.39.233185415425.6182.3255971573222,7.7.67.510465.87.8.4.7.344881976496338.2586288957534.6,1.1.05.835795.90.2.3.5.419866494432280.3782809240948.3,5.9.057.683166.4.454.9.9847771657.6895882890.358782,1.6.61.497258.79.9.5.9.338678965952134.8922101712629.0,5.0.05.492675.44.4.8.0.98887247053.0259890072597.0,5.2.223.895789.6.457.1.4218426254.0735498902.610478,4.2.78.161125.92.6.8.9.33889229169.0745309209155.7,9.7.24.476877.79.1.7.5.285314784797496.6937407776393.0,9.4.701.894877.7.372.9.3354565476.9354805429.522152,0.6.35.724316.66.8.4.7.654298671181842.8500842792709.4
3194,0.2.330.452298.0.778.4.2918741554.0442085695.135586,4.6.721.130989.0.343.7.2048148332.4192458502.843388,0.8.173.089057.2.390.2.5126984463.6069450650.602038,4.2.34.424202.49.0.8.3.910477513315914.3391898062099.1,0.9.896.534660.5.358.7.5759085087.6439811954.063335,1.8.15.928889.80.6.9.3.06599852879.6828075201054.3,3.5.001.079255.2.397.5.5973750406.5725556060.319670,5.3.49.567681.29.7.0.3.93729256594.1250862821890.8,6.1.77.409776.26.3.7.2.41393344071.6550500970124.0,6.1.02.844768.13.7.0.7.05108452689.4416816994111.1,9.1.44.132165.27.8.4.8.97013786727.9568323685917.0,0.1.65.487447.76.9.9.6.04710705073.2760323184521.1,3.5.97.761649.10.0.9.2.202642511888866.7720052350328.6,0.4.16.257080.65.3.5.1.08214918723.6284902025053.4,5.2.02.200392.50.6.9.4.006751011403161.8467475274682.5
